Paritioned Dense Curro Autoencoder with Modified ReLU,Iterations,Loss
-6 dB,-3 dB,0 dB,3 dB,6 dB
2001
-6 dB,2129.26171875,1345.72583008,1292.58764648
-6 dB,1336.75683594,1499.94458008,1254.98010254
-6 dB,1191.82446289,820.973022461,1243.39794922
-6 dB,2163.71679688,1468.87939453,1027.08520508
-6 dB,783.905639648,1487.91503906,1230.45178223
-6 dB,1412.7097168,1839.95263672,1562.87573242
-6 dB,1281.25366211,1503.54663086,1223.6895752
-6 dB,1150.65576172,1275.97729492,920.055786133
-6 dB,812.211669922,863.974243164,739.678222656
-6 dB,1211.98608398,1142.45849609,716.743286133
-6 dB,759.842041016,1412.72253418,806.483154297
-6 dB,673.493164062,1526.2331543,849.405456543
-6 dB,742.831848145,1587.32092285,778.799072266
-6 dB,590.47265625,1351.77978516,525.37890625
-6 dB,489.584075928,1316.93115234,458.80847168
-6 dB,457.933624268,1247.7064209,468.753875732
-6 dB,614.55078125,1524.45336914,473.686279297
-6 dB,448.397064209,1512.72631836,467.415130615
-6 dB,408.827789307,1469.3894043,486.321044922
-6 dB,467.980682373,1524.83300781,499.465393066
-6 dB,503.469482422,1635.60681152,474.267578125
-6 dB,529.943603516,1907.49658203,508.122924805
-6 dB,413.028930664,1526.93188477,444.045593262
-6 dB,511.095184326,1686.5892334,462.335601807
-6 dB,466.61050415,1690.95141602,440.778503418
-6 dB,422.389007568,1680.31335449,461.75692749
-6 dB,463.357910156,1770.89025879,492.726837158
-6 dB,448.823425293,1648.52966309,439.205200195
-6 dB,464.913269043,1812.1784668,450.672729492
-6 dB,430.193847656,1732.10205078,445.262756348
-6 dB,413.749237061,1591.30737305,408.938720703
-6 dB,484.045349121,1864.86376953,458.896362305
-6 dB,381.435333252,1569.13427734,400.114929199
-6 dB,393.237884521,1605.13037109,419.736999512
-6 dB,466.04119873,1822.27246094,466.969543457
-6 dB,472.972595215,1882.21459961,466.842407227
-6 dB,430.784240723,1738.05310059,441.76965332
-6 dB,454.775939941,1787.39599609,450.297271729
-6 dB,430.435180664,1694.21325684,424.302246094
-6 dB,409.886657715,1664.29077148,427.432678223
-6 dB,412.863952637,1685.80529785,434.618896484
-6 dB,427.412475586,1699.55212402,435.131225586
-6 dB,396.895355225,1579.16845703,401.595825195
-6 dB,349.055419922,1391.0057373,357.881317139
-6 dB,384.837036133,1490.07702637,387.079345703
-6 dB,439.204101562,1721.01000977,441.026855469
-6 dB,429.479766846,1706.57739258,451.218048096
-6 dB,398.99597168,1582.89538574,424.218475342
-6 dB,451.954650879,1773.77233887,464.422485352
-6 dB,364.231384277,1413.02636719,373.496673584
-6 dB,416.488677979,1605.55383301,427.544921875
-6 dB,425.75177002,1621.01330566,432.074371338
-6 dB,399.491699219,1551.32397461,414.581115723
-6 dB,356.838745117,1397.51928711,382.513946533
-6 dB,439.573608398,1724.38891602,464.554168701
-6 dB,413.269470215,1604.13208008,432.86895752
-6 dB,372.838439941,1454.66796875,389.44140625
-6 dB,387.355529785,1508.34912109,404.191345215
-6 dB,411.787078857,1631.96130371,429.605926514
-6 dB,418.217895508,1686.3536377,443.360595703
-6 dB,466.529937744,1915.80236816,497.56854248
-6 dB,398.585510254,1623.28430176,426.244812012
-6 dB,437.457824707,1803.75463867,462.306884766
-6 dB,459.04095459,1913.06030273,484.539978027
-6 dB,413.704162598,1734.14294434,442.72869873
-6 dB,382.092590332,1644.33789062,410.076049805
-6 dB,432.10168457,1874.37524414,466.563110352
-6 dB,355.623413086,1551.32739258,388.51385498
-6 dB,402.084106445,1768.59143066,431.387481689
-6 dB,388.54586792,1725.99108887,423.384002686
-6 dB,334.535552979,1486.77124023,370.122802734
-6 dB,351.816497803,1582.09570312,387.825561523
-6 dB,401.425170898,1801.29589844,440.905334473
-6 dB,352.660797119,1599.71350098,390.547851562
-6 dB,386.884185791,1741.79541016,430.121368408
-6 dB,389.941131592,1742.13244629,432.988220215
-6 dB,403.210601807,1815.94787598,448.522827148
-6 dB,419.017211914,1871.65124512,464.981079102
-6 dB,395.255126953,1786.92749023,438.827941895
-6 dB,404.698486328,1814.36608887,451.184936523
-6 dB,415.157531738,1866.94702148,462.143249512
-6 dB,355.405090332,1577.95703125,403.038574219
-6 dB,363.390563965,1619.0715332,409.173522949
-6 dB,435.453399658,1934.79077148,483.681640625
-6 dB,398.55078125,1788.95129395,446.172027588
-6 dB,434.409667969,1945.97387695,487.229553223
-6 dB,381.261413574,1702.47241211,426.688171387
-6 dB,382.275390625,1697.06103516,428.786651611
-6 dB,403.626525879,1790.40490723,452.636047363
-6 dB,376.03918457,1687.16235352,425.682617188
-6 dB,377.48248291,1682.41333008,423.695861816
-6 dB,364.69519043,1644.48779297,410.289489746
-6 dB,384.358947754,1714.9296875,429.235595703
-6 dB,375.680328369,1662.99560547,422.148864746
-6 dB,413.062927246,1858.84375,462.285369873
-6 dB,433.277526855,1919.3717041,481.514221191
-6 dB,370.479370117,1656.92602539,416.374755859
-6 dB,410.033630371,1836.97607422,455.001708984
-6 dB,382.910888672,1703.58691406,424.760314941
-6 dB,371.826965332,1665.69848633,410.84979248
-6 dB,385.03302002,1744.59558105,425.397277832
-6 dB,400.086425781,1817.72827148,446.284240723
-6 dB,385.817199707,1742.02856445,426.780395508
-6 dB,396.073608398,1802.43041992,438.395294189
-6 dB,400.680358887,1799.83081055,441.899932861
-6 dB,400.432891846,1813.96020508,443.342529297
-6 dB,392.707824707,1777.3581543,431.641357422
-6 dB,372.658233643,1676.35546875,415.17880249
-6 dB,386.073150635,1741.49755859,424.34866333
-6 dB,391.616577148,1775.81811523,435.142272949
-6 dB,405.633483887,1855.20166016,442.919403076
-6 dB,376.314941406,1703.34570312,417.986206055
-6 dB,402.386688232,1825.84057617,444.372314453
-6 dB,362.378967285,1652.82141113,401.924163818
-6 dB,404.153503418,1839.32629395,447.865112305
-6 dB,410.110626221,1868.95178223,450.532318115
-6 dB,449.121368408,2013.50805664,494.921020508
-6 dB,474.132446289,2171.61376953,522.057739258
-6 dB,417.446472168,1915.57055664,463.356811523
-6 dB,393.380249023,1799.3762207,437.947235107
-6 dB,386.206054688,1759.71789551,426.801269531
-6 dB,431.431945801,1978.59436035,476.763366699
-6 dB,449.311218262,2050.28100586,492.592773438
-6 dB,404.239013672,1843.48217773,446.165985107
-6 dB,421.981018066,1924.18188477,463.523071289
-6 dB,421.381713867,1929.63452148,464.034912109
-6 dB,429.535766602,1953.59631348,473.703521729
-6 dB,375.11138916,1728.55712891,419.171051025
-6 dB,370.373657227,1714.4173584,410.412139893
-6 dB,409.515686035,1870.8581543,451.922546387
-6 dB,420.250244141,1918.45861816,465.778656006
-6 dB,408.305175781,1874.56616211,451.559753418
-6 dB,367.717285156,1677.9777832,406.539672852
-6 dB,398.902252197,1841.90808105,445.952880859
-6 dB,364.807189941,1675.48254395,406.246002197
-6 dB,374.799316406,1725.11889648,416.480804443
-6 dB,372.70916748,1693.24475098,412.431152344
-6 dB,381.747741699,1771.26123047,424.836151123
-6 dB,418.897766113,1935.85693359,467.101013184
-6 dB,416.770080566,1943.21362305,462.843322754
-6 dB,379.461914062,1748.73327637,420.359832764
-6 dB,399.752563477,1840.18164062,441.630859375
-6 dB,403.806030273,1854.61108398,446.167358398
-6 dB,377.299499512,1722.50231934,419.154998779
-6 dB,387.05670166,1792.84143066,428.806396484
-6 dB,388.616333008,1780.08740234,428.365203857
-6 dB,359.706237793,1644.77246094,399.36416626
-6 dB,434.151367188,2009.78735352,479.336395264
-6 dB,421.018981934,1957.15527344,465.587249756
-6 dB,418.167785645,1923.63977051,458.158508301
-6 dB,364.203796387,1697.95959473,404.340148926
-6 dB,351.918792725,1625.17138672,390.46887207
-6 dB,365.335754395,1686.68286133,403.317626953
-6 dB,394.653411865,1811.40429688,436.60333252
-6 dB,400.397644043,1851.13818359,439.68850708
-6 dB,366.986083984,1701.04394531,409.272521973
-6 dB,372.079284668,1708.15527344,411.396057129
-6 dB,412.004882812,1898.72131348,453.735321045
-6 dB,398.046508789,1850.1472168,438.806854248
-6 dB,419.578796387,1953.31713867,465.243896484
-6 dB,387.011169434,1807.57592773,431.17868042
-6 dB,404.459594727,1894.15161133,450.739013672
-6 dB,365.921325684,1709.84228516,408.988098145
-6 dB,417.693847656,1930.57653809,463.478424072
-6 dB,387.922546387,1791.0020752,426.221008301
-6 dB,358.715759277,1652.1796875,398.096893311
-6 dB,391.864379883,1810.20800781,436.762969971
-6 dB,365.600708008,1689.48388672,406.917297363
-6 dB,388.469909668,1808.56054688,430.132568359
-6 dB,431.30255127,2023.12255859,474.93572998
-6 dB,369.089080811,1713.50476074,408.389953613
-6 dB,452.649475098,2099.66479492,500.085205078
-6 dB,355.399658203,1656.27429199,398.982055664
-6 dB,387.756195068,1805.92553711,430.304504395
-6 dB,373.470031738,1735.64916992,416.848571777
-6 dB,356.608581543,1650.13317871,398.913513184
-6 dB,395.618774414,1853.09399414,440.406585693
-6 dB,403.758392334,1876.07275391,445.97567749
-6 dB,360.329650879,1663.16833496,402.592956543
-6 dB,337.691802979,1568.82250977,380.44631958
-6 dB,384.717773438,1793.56811523,428.714996338
-6 dB,367.917816162,1724.27124023,411.154571533
-6 dB,371.527038574,1738.09387207,414.243530273
-6 dB,407.09185791,1887.8659668,449.370422363
-6 dB,358.747253418,1677.80664062,400.290527344
-6 dB,403.694152832,1874.54150391,445.606567383
-6 dB,357.363342285,1654.15307617,399.501403809
-6 dB,369.170806885,1711.82141113,409.173339844
-6 dB,408.918334961,1910.28320312,450.709106445
-6 dB,376.558898926,1741.36022949,421.429321289
-6 dB,340.384735107,1579.49658203,379.450683594
-6 dB,389.978179932,1817.20605469,431.51550293
-6 dB,391.26953125,1820.75952148,432.294189453
-6 dB,307.462799072,1435.16967773,346.811462402
-6 dB,376.987213135,1754.03051758,418.016723633
-6 dB,419.276092529,1957.32678223,463.726623535
-6 dB,411.084350586,1906.61767578,450.020751953
-6 dB,307.780944824,1434.21020508,348.568023682
-6 dB,407.144561768,1907.86547852,453.789245605
-6 dB,375.84161377,1769.51538086,417.605987549
-6 dB,402.113555908,1880.24658203,443.371337891
-6 dB,370.638122559,1735.65148926,413.313232422
-6 dB,432.979644775,2017.5078125,476.255584717
-6 dB,401.977966309,1874.28686523,446.414428711
-6 dB,396.948852539,1848.87683105,441.975738525
-6 dB,391.77947998,1837.55249023,433.794372559
-6 dB,397.078552246,1838.75952148,440.667663574
-6 dB,402.851257324,1890.01135254,447.134124756
-6 dB,402.110443115,1866.10839844,445.194885254
-6 dB,425.599822998,1974.27587891,466.528137207
-6 dB,377.107879639,1753.85217285,422.340667725
-6 dB,391.417785645,1814.13427734,433.982055664
-6 dB,354.754608154,1646.984375,397.797546387
-6 dB,395.040527344,1838.20703125,436.05267334
-6 dB,369.462982178,1704.06872559,412.844726562
-6 dB,450.822509766,2087.93408203,498.227661133
-6 dB,345.338531494,1606.89929199,388.460235596
-6 dB,386.115661621,1785.96728516,432.880615234
-6 dB,409.696533203,1893.92700195,457.977233887
-6 dB,358.123962402,1659.55651855,397.799072266
-6 dB,412.385223389,1915.11413574,457.062896729
-6 dB,380.16003418,1778.28930664,426.142150879
-6 dB,370.186187744,1717.44262695,410.919036865
-6 dB,409.393615723,1893.625,452.383239746
-6 dB,388.352294922,1815.18554688,432.578674316
-6 dB,338.253967285,1584.86669922,379.35736084
-6 dB,418.619262695,1933.89099121,462.437133789
-6 dB,408.257751465,1890.31884766,455.784545898
-6 dB,388.319274902,1811.10839844,431.140777588
-6 dB,347.397033691,1636.56164551,393.796813965
-6 dB,432.029846191,2003.38305664,478.496032715
-6 dB,406.906463623,1877.88964844,452.145385742
-6 dB,392.205444336,1816.73266602,435.1690979
-6 dB,381.169616699,1769.84887695,425.775299072
-6 dB,395.640594482,1826.49914551,435.970428467
-6 dB,394.174682617,1819.52685547,439.293609619
-6 dB,409.644775391,1887.65209961,454.539703369
-6 dB,364.970977783,1686.37451172,409.530151367
-6 dB,430.47833252,2001.53466797,475.364929199
-6 dB,387.225860596,1811.92578125,431.066680908
-6 dB,357.16204834,1663.71447754,396.885070801
-6 dB,393.149658203,1835.0534668,436.311523438
-6 dB,422.798095703,1944.32568359,469.648925781
-6 dB,378.322692871,1767.85314941,420.945404053
-6 dB,376.313293457,1748.33056641,418.720153809
-6 dB,355.656463623,1651.78027344,400.947265625
-6 dB,391.42565918,1797.34912109,434.4112854
-6 dB,371.176635742,1717.92541504,415.64855957
-6 dB,350.564086914,1620.3782959,392.326385498
-6 dB,352.314178467,1635.70727539,397.379333496
-6 dB,358.233184814,1654.74243164,398.531951904
-6 dB,400.618041992,1853.18225098,444.714477539
-6 dB,422.690826416,1957.65075684,467.891174316
-6 dB,355.550842285,1654.01171875,400.812011719
-6 dB,365.092712402,1701.92749023,405.615539551
-6 dB,434.62701416,2010.01464844,481.784667969
-6 dB,448.348052979,2081.53857422,494.184448242
-6 dB,400.485229492,1838.82568359,439.519805908
-6 dB,406.077148438,1863.28955078,445.527740479
-6 dB,463.982116699,2156.35595703,511.904205322
-6 dB,392.166015625,1828.38793945,435.507995605
