-6 dB,1896250.84457,1856760.25,11.1634768624
-6 dB,1893614.24545,1841363.0,11.9264111007
-6 dB,1880972.95421,1821781.5,11.776710149
-6 dB,1907020.39713,1842878.5,12.1175692855
-6 dB,1893192.93277,1825466.0,12.6038233336
-6 dB,1810449.05192,1740839.0,13.6620551956
-6 dB,1734056.89281,1662746.0,14.2506104707
-6 dB,1636059.40206,1563992.5,14.4999232115
-6 dB,1565710.78434,1492204.75,15.2380271875
-6 dB,1571002.18121,1494619.0,16.4170277306
-6 dB,1355349.54401,1282614.75,16.5831243665
-6 dB,1268097.49201,1195535.75,18.029530385
-6 dB,1395696.71233,1315771.75,18.00423482
-6 dB,1287714.9104,1209141.125,19.4892418967
-6 dB,1121201.32407,1047724.3125,19.9649465576
-6 dB,1243108.62093,1161755.0,22.2109270126
-6 dB,895951.885883,830236.75,22.1401026296
-6 dB,1090091.03335,1012243.5,22.6884895251
-6 dB,867241.932893,801655.625,23.8222716302
-6 dB,829156.595536,765379.3125,25.970422929
-6 dB,872516.219439,805558.625,26.7774080446
-6 dB,727485.813686,671421.125,27.4795545171
-6 dB,652941.175617,604621.0625,29.0163933272
-6 dB,497406.68205,466168.0,30.9436504123
-6 dB,549508.527288,516028.75,31.2473302604
-6 dB,519395.679185,492339.5625,32.8156959777
-6 dB,585802.361756,555345.4375,35.9466423057
-6 dB,492345.342323,476158.96875,36.4816952695
-6 dB,534443.05837,517504.6875,39.5740476775
-6 dB,467217.675057,462378.78125,38.322128498
-6 dB,485796.682879,482644.59375,38.3917565955
-6 dB,484811.84627,484612.1875,42.487083997
-6 dB,471717.284175,475007.4375,41.7006131217
-6 dB,477608.458172,480085.8125,43.713181214
-6 dB,524490.498765,523291.375,44.0291039498
-6 dB,497937.905443,496699.4375,43.2635717157
-6 dB,508209.215116,504836.875,44.4998125662
-6 dB,493927.460782,489209.21875,45.7160791634
-6 dB,487769.588415,479297.0625,44.4078220725
-6 dB,494562.503851,484927.46875,46.3527967337
-6 dB,491057.441911,481920.75,44.3809157078
-6 dB,470016.141389,457173.53125,45.129043227
-6 dB,483026.881388,474224.1875,42.7116910512
-6 dB,468974.6679,460965.25,43.1674363843
-6 dB,456185.787747,447155.375,42.7343093553
-6 dB,450826.715311,443478.5,41.6209060548
-6 dB,445681.970678,440456.28125,40.6293749237
-6 dB,407796.076161,400814.8125,40.5472909365
-6 dB,431507.484603,428140.125,40.271275481
-6 dB,483239.633182,481820.46875,40.5619554061
-6 dB,420321.661921,417441.21875,39.4389649496
-6 dB,424025.215657,422154.6875,38.1401856125
-6 dB,429325.55573,426903.96875,39.3522306455
-6 dB,412175.16098,410167.03125,36.4517044206
-6 dB,455254.607322,453070.75,37.9093437806
-6 dB,414807.295469,412730.4375,37.0267636839
-6 dB,411997.481401,410023.40625,36.9366368441
-6 dB,454008.260731,451416.8125,36.0989714857
-6 dB,432883.180952,429981.8125,35.7817902052
-6 dB,392504.063474,390137.78125,36.4463304309
-6 dB,474978.813783,470399.09375,36.6741995474
-6 dB,462109.948186,457684.875,36.3716589933
-6 dB,445412.384958,441515.5,36.8917553922
-6 dB,455953.124229,451409.5,36.9460245874
-6 dB,398671.579858,396568.4375,36.9131085859
-6 dB,368697.866416,367492.8125,38.0286883251
-6 dB,407455.857009,405437.3125,38.7436832525
-6 dB,400619.127247,398872.875,39.4006549561
-6 dB,400413.99392,398669.25,38.562135757
-6 dB,397127.14244,395467.3125,38.9549084304
-6 dB,414167.489024,412322.75,38.4641590644
-6 dB,387040.140903,385357.25,39.5585118843
-6 dB,419669.633238,417888.0625,40.8765770731
-6 dB,378660.546901,376819.84375,39.7026484995
-6 dB,404348.159027,402452.1875,41.3172138387
-6 dB,386785.915833,384838.0625,41.3732382018
-6 dB,447013.870826,444913.375,40.9183160951
-6 dB,390260.438795,388438.125,40.80019261
-6 dB,389008.001231,387309.09375,41.5432054066
